Date,Close,LINEAR_REGRESSION,KNN,LSTM,ARIMA
2019-12-06,25.450001,26.200001,26.2000006,26.147606,[24.99739288]
2019-12-09,25.280001000000002,25.01,25.009999999999998,26.131357,[25.42413608]
2019-12-10,24.74,24.25,24.246000000000002,26.141832,[25.28706047]
2019-12-11,24.65,24.25,24.246000000000002,26.088852,[24.79748239]
2019-12-12,24.76,22.429999999999996,22.432000000000002,26.000923,[24.68386074]
2019-12-13,25.4,21.149999999999995,21.1800006,25.923176,[24.76068457]
2019-12-16,25.190001000000002,20.499999999999996,20.5,25.95244,[25.35270971]
2019-12-17,24.68,20.669999999999998,20.6359996,25.999605,[25.200291]
2019-12-18,23.9,22.370001,22.3940002,25.977829,[24.72807838]
2019-12-19,23.780001000000002,23.540000999999997,23.5320002,25.814466,[23.98730824]
2019-12-20,23.82,23.599999999999998,23.6100002,25.587328,[23.81011536]
2019-12-23,24.35,24.33,24.327999999999996,25.363976,[23.82414002]
2019-12-24,24.530001000000002,23.940001,23.936000200000002,25.247473,[24.30888235]
2019-12-26,23.879998999999998,23.149999999999995,23.142000200000002,25.22505,[24.5152513]
2019-12-27,23.59,24.540001,24.524,25.162167,[23.92644823]
2019-12-30,23.08,25.33,25.3460002,25.049871,[23.64058534]
2019-12-31,22.9,25.889999,25.891999399999996,24.856947,[23.13533219]
2020-01-02,23.540001,25.23,25.2520002,24.62578,[22.92028024]
2020-01-03,22.93,24.76,24.756,24.496029,[23.50855569]
2020-01-06,22.9,24.879998999999998,24.8719998,24.34803,[22.958595]
2020-01-07,23.219998999999998,25.02,25.0160002,24.209766,[22.91586562]
2020-01-08,23.120001000000002,25.450001,25.4540002,24.139727,[23.22178762]
2020-01-09,23.059998999999998,25.35,25.3460002,24.099182,[23.11408783]
2020-01-10,23.77,25.66,25.666000199999996,24.071693,[23.07251954]
2020-01-13,24.860001,26.02,26.014,24.15371,[23.73561643]
2020-01-14,25.25,24.4,24.4040002,24.431385,[24.77475407]
2020-01-15,25.059998999999998,24.389999,24.38,24.824982,[25.202595]
2020-01-16,24.84,27.35,27.352000200000003,25.1975,[25.07820001]
2020-01-17,25.4,27.799999,27.789999599999998,25.476849,[24.88157544]
2020-01-21,23.91,25.59,25.5919996,25.749212,[25.38103872]
2020-01-22,22.360001,25.139999,25.1479994,25.760319,[24.00495058]
2020-01-23,22.82,26.440001000000002,26.450000400000004,25.41986,[22.49683143]
2020-01-24,23.07,26.620001000000002,26.616000200000002,25.017105,[22.85397699]
2020-01-27,22.959999,27.700001,27.708000200000004,24.667551,[23.02878846]
2020-01-28,22.780001000000002,26.299999,26.298000000000002,24.375757,[22.94664699]
2020-01-29,23.469998999999998,26.98,26.9860002,24.129583,[22.81798883]
2020-01-30,23.68,27.360001,27.3520002,24.038145,[23.43732527]
2020-01-31,23.0,27.040001,27.0280002,24.066965,[23.65354491]
2020-02-03,23.01,27.42,27.442000200000003,24.060871,[23.03986669]
2020-02-04,23.709999,27.639999,27.630000000000003,24.043594,[23.0465438]
2020-02-05,23.780001000000002,28.4,28.397999799999997,24.120962,[23.67324235]
2020-02-06,24.33,28.059998999999998,28.0379996,24.244453,[23.74945576]
2020-02-07,24.459999,28.389999,28.3959996,24.453068,[24.30058861]
2020-02-10,24.200001,27.43,27.442000200000003,24.69415,[24.45858874]
2020-02-11,29.32,28.219998999999998,28.220000200000005,24.882084,[24.21426716]
2020-02-12,29.950001,28.6,28.6179998,25.753937,[28.9993804]
2020-02-13,29.459999,27.59,27.594,26.941545,[29.80169845]
2020-02-14,28.370001000000002,27.940001000000002,27.946001000000003,28.058979,[29.47203724]
2020-02-18,28.02,28.389999,28.3959996,28.817215,[28.56396495]
2020-02-19,27.799999,28.639999,28.6379998,29.228516,[28.08211885]
2020-02-20,28.559998999999998,28.540001,28.518,29.363293,[27.83431794]
2020-02-21,28.200001,28.23,28.220000199999998,29.447748,[28.52107568]
2020-02-24,25.360001,28.959999,28.9620004,29.428453,[28.21475108]
2020-02-25,24.82,29.09,29.0779996,28.929056,[25.5396109]
2020-02-26,23.85,30.799999,30.799999000000003,28.19998,[24.96231772]
2020-02-27,23.290001,31.969998999999998,31.9740002,27.321857,[23.94863782]
2020-02-28,23.01,31.1,31.120000000000005,26.421904,[23.30545831]
2020-03-02,24.25,30.860001,30.862000000000002,25.604826,[23.04196109]
2020-03-03,22.780001000000002,31.610001,31.632000200000004,25.12273,[24.18614965]
2020-03-04,21.709999,30.18,30.176000400000003,24.6723,[22.83492447]
2020-03-05,21.5,29.84,29.853999799999997,24.166456,[21.80066435]
2020-03-06,20.889999,29.4,29.396000000000004,23.682478,[21.5820951]
2020-03-09,19.01,28.950001,28.9440004,23.197151,[20.90912564]
2020-03-10,18.84,28.48,28.4899998,22.531288,[19.1097305]
2020-03-11,17.16,28.08,28.0979996,21.849194,[18.89728195]
2020-03-12,15.15,27.280001000000002,27.2759998,21.033379,[17.23929062]
2020-03-13,15.27,27.15,27.148000000000003,20.009455,[15.22406416]
2020-03-16,14.54,25.360001,25.3460002,19.03234,[15.29011081]
2020-03-17,13.9,25.139999,25.1479994,18.114191,[14.51288189]
2020-03-18,10.9,25.950001,25.9520006,17.266668,[13.88020072]
2020-03-19,11.2,26.549999,26.552,16.214172,[11.01890677]
2020-03-20,12.26,26.75,26.7600002,15.221034,[11.19139368]
2020-03-23,11.34,27.6,27.600000200000004,14.49347,[12.15405805]
2020-03-24,12.35,27.57,27.588,13.889397,[11.24503961]
2020-03-25,14.8,27.9,27.9120004,13.529466,[12.30986929]
2020-03-26,15.09,27.379998999999998,27.357999999999997,13.612067,[14.69360232]
2020-03-27,14.11,26.77,26.7600002,13.960913,[15.01102523]
2020-03-30,12.83,26.620001000000002,26.616000200000002,14.300057,[14.20986549]
2020-03-31,11.96,26.370001000000002,26.402000799999996,14.441592,[12.98180186]
2020-04-01,11.41,26.02,26.014,14.354646,[12.01153388]
2020-04-02,11.27,26.280001000000002,26.298000000000002,14.088327,[11.40444667]
2020-04-03,10.96,26.139999,26.1359998,13.73773,[11.242104]
2020-04-06,12.8,26.129998999999998,26.1359998,13.345466,[10.94511502]
2020-04-07,13.08,26.07,26.0519996,13.176784,[12.72045285]
2020-04-08,13.41,26.870001000000002,26.874000000000002,13.17853,[13.02768892]
2020-04-09,12.82,26.65,26.6260002,13.307367,[13.39347836]
2020-04-13,12.81,26.0,26.006,13.421453,[12.88681151]
2020-04-14,13.34,25.950001,25.9520006,13.510063,[12.81202562]
2020-04-15,12.64,25.959999,25.954000200000003,13.632238,[13.32038489]
2020-04-16,12.43,25.85,25.852000200000003,13.676928,[12.63486293]
2020-04-17,12.77,26.360001,26.345999999999997,13.648574,[12.45528783]
2020-04-20,12.09,28.469998999999998,28.470000200000005,13.621057,[12.76750758]
2020-04-21,11.69,28.91,28.932000600000002,13.519299,[12.08166419]
2020-04-22,12.28,25.209999,25.1959996,13.343627,[11.71677275]
2020-04-23,13.25,25.940001000000002,25.946001000000003,13.214129,[12.26708703]
2020-04-24,13.5,25.709999,25.710000400000002,13.233327,[13.17298821]
2020-04-27,14.26,26.049999,26.0439998,13.35949,[13.4657474]
2020-04-28,13.95,25.43,25.4480004,13.615493,[14.24955992]
2020-04-29,15.58,24.809998999999998,24.7999994,13.876665,[13.96578084]
2020-04-30,14.76,24.360001,24.362000000000002,14.298464,[15.52612332]
2020-05-01,13.91,23.899999999999995,23.9019998,14.661758,[14.7790486]
2020-05-04,14.31,23.499999999999996,23.502000000000002,14.849082,[13.95227566]
2020-05-05,14.41,22.659999999999997,22.6479994,14.965478,[14.35027647]
2020-05-06,14.07,23.179999999999996,23.186000200000002,15.0406475,[14.35346133]
2020-05-07,14.57,23.450000999999997,23.4540006,15.044204,[14.066224]
2020-05-08,15.08,24.0,24.002000000000002,15.067799,[14.57479353]
2020-05-11,13.61,23.399999999999995,23.399999799999996,15.159315,[15.04399506]
2020-05-12,13.45,23.499999999999996,23.502000000000002,15.103007,[13.64981131]
2020-05-13,13.14,24.33,24.327999999999996,14.957291,[13.50657731]
2020-05-14,12.76,23.849999999999998,23.842000000000002,14.746108,[13.14950212]
2020-05-15,13.31,24.129998999999998,24.140000000000004,14.4827,[12.73193611]
2020-05-18,14.16,24.01,24.004,14.287225,[13.30202495]
2020-05-19,14.4,24.450001,24.450000600000003,14.249881,[14.1032117]
2020-05-20,14.94,24.1,24.110000000000003,14.330961,[14.36890749]
2020-05-21,15.4,23.889998999999996,23.901999800000002,14.530149,[14.93770138]
2020-05-22,14.75,23.499999999999996,23.502000000000002,14.824368,[15.38625139]
2020-05-26,16.01,23.110000999999997,23.1040002,15.058651,[14.76309852]
2020-05-27,16.379998999999998,22.969998999999994,22.971999599999997,15.382209,[15.98671777]
2020-05-28,15.79,23.769999999999996,23.788,15.759196,[16.33823125]
