Date,Close,LINEAR_REGRESSION,KNN,LSTM,ARIMA
2019-03-18,28.48,34.900002,34.910001799999996,31.217701,[28.98388245]
2019-03-19,28.08,34.5,34.4900002,30.945803,[28.54995787]
2019-03-20,27.280001000000002,35.0,35.0099998,30.618145,[28.13369654]
2019-03-21,27.15,35.299999,35.3099988,30.214426,[27.36376728]
2019-03-22,25.360001,35.900002,35.9100008,29.797108,[27.18423979]
2019-03-25,25.139999,36.900002,36.9060016,29.239054,[25.51628611]
2019-03-26,25.950001,37.75,37.7699996,28.64089,[25.18354641]
2019-03-27,26.549999,38.799999,38.749999,28.152618,[25.89976798]
2019-03-28,26.75,40.249999999999986,40.1100008,27.823236,[26.45597037]
2019-03-29,27.6,41.049998999999985,40.3700006,27.628613,[26.73533254]
2019-04-01,27.57,40.150001999999986,40.1100008,27.606596,[27.55970765]
2019-04-02,27.9,39.75,39.9200006,27.677025,[27.57773299]
2019-04-03,27.379998999999998,39.299999,39.129999399999996,27.824188,[27.88821629]
2019-04-04,26.77,37.400002,37.4,27.949842,[27.44813132]
2019-04-05,26.620001000000002,38.950001,38.899998999999994,27.995495,[26.83596357]
2019-04-08,26.370001000000002,38.200001,38.1700006,27.980387,[26.66561299]
2019-04-09,26.02,38.400002,38.4300014,27.909626,[26.39375229]
2019-04-10,26.280001000000002,37.349998,37.3400002,27.781906,[26.05664207]
2019-04-11,26.139999,36.88000099999999,36.886001,27.660145,[26.28035307]
2019-04-12,26.129998999999998,34.950001,34.950001,27.53842,[26.15533979]
2019-04-15,26.07,36.150002,36.160001799999996,27.427128,[26.14012468]
2019-04-16,26.870001000000002,35.349998,35.339998200000004,27.325861,[26.0959154]
2019-04-17,26.65,34.950001,34.950001,27.315475,[26.8145121]
2019-04-18,26.0,36.150002,36.160001799999996,27.332922,[26.6668986]
2019-04-22,25.950001,35.099998,35.099999,27.30291,[26.06699754]
2019-04-23,25.959999,35.450001,35.4299994,27.246422,[25.99728414]
2019-04-24,25.85,35.200001,35.180001399999995,27.181328,[25.96236333]
2019-04-25,26.360001,35.599998,35.599998,27.106756,[25.85863474]
2019-04-26,28.469998999999998,32.900002,32.910001799999996,27.08236,[26.3378604]
2019-04-29,28.91,33.5,33.5099998,27.28754,[28.30838847]
2019-04-30,25.209999,34.200001,34.2100008,27.6379,[28.84764733]
2019-05-01,25.940001000000002,34.950001,34.950001,27.680847,[25.50640219]
2019-05-02,25.709999,34.950001,34.950001,27.631731,[26.04617792]
2019-05-03,26.049999,35.349998,35.339998200000004,27.511549,[25.72138634]
2019-05-06,25.43,36.150002,36.160001799999996,27.396046,[25.9567125]
2019-05-07,24.809998999999998,38.5,38.5099998,27.233467,[25.53967984]
2019-05-08,24.360001,37.049999,37.0099998,27.0026,[24.87908596]
2019-05-09,23.9,37.0,37.0099998,26.713993,[24.43888437]
2019-05-10,23.5,36.150002,36.160001799999996,26.377213,[23.94767793]
2019-05-13,22.66,35.0,35.0099998,26.007524,[23.5468041]
2019-05-14,23.18,35.0,35.0099998,25.57506,[22.74182622]
2019-05-15,23.450001,33.950001,33.950001,25.196484,[23.16291053]
2019-05-16,24.0,33.299999,33.2899992,24.904963,[23.41997213]
2019-05-17,23.4,33.099998,33.0699986,24.737928,[23.93722431]
2019-05-20,23.5,32.75,32.7599998,24.598057,[23.45857744]
2019-05-21,24.33,33.049999,33.0399992,24.495962,[23.5170612]
2019-05-22,23.85,34.25,34.25,24.500648,[24.28434001]
2019-05-23,24.129998999999998,33.75,33.7400002,24.518244,[23.85687505]
2019-05-24,24.01,34.700001,34.700001,24.568375,[24.13146412]
2019-05-28,24.450001,34.599998,34.5699996,24.620422,[24.0433302]
2019-05-29,24.1,33.950001,33.950001,24.710133,[24.40918049]
2019-05-30,23.889999,34.349998,34.349999,24.779291,[24.13662332]
2019-05-31,23.5,33.5,33.5099998,24.811903,[23.91955364]
2019-06-03,23.110001,33.0,32.9900002,24.785215,[23.56057658]
2019-06-04,22.969998999999998,29.099999999999998,29.0779996,24.692282,[23.15157273]
2019-06-05,23.77,31.499999999999996,31.5,24.558401,[22.99967684]
2019-06-06,23.790001,31.499999999999996,31.5,24.488033,[23.71149784]
2019-06-07,24.23,29.950000999999997,29.950000999999997,24.459446,[23.76889438]
2019-06-10,25.459999,29.899999999999995,29.9,24.497513,[24.19697391]
2019-06-11,25.5,30.149999999999995,30.156,24.68332,[25.37842418]
2019-06-12,25.51,30.999999999999996,31.0199996,24.936577,[25.46652036]
2019-06-13,25.950001,31.450000999999997,31.4600008,25.205866,[25.5235686]
2019-06-14,25.459999,30.899999999999995,30.892000399999993,25.501566,[25.95173583]
2019-06-17,25.690001000000002,31.549998999999996,31.5399992,25.738241,[25.49037955]
2019-06-18,26.01,30.950000999999997,30.970000199999998,25.943867,[25.69410341]
2019-06-19,25.91,30.799998999999996,30.799999000000003,26.143557,[26.00134916]
